Id;Fransizca;Ingilizce;Turkce;Tur;Okunus;Sa
1890;consommer;toconsume;tüketmek;v.;koñsome;460
1891;constamment;constantly;sürekli;adv.;koñstamañ;461
1892;constant (-e);constant;deðiþmez;adj.;koñstañ /-ant;461
1893;constatation;notice;tespit;f.;konstatasyoñ;462
1894;constater;tonotice;saptamak, tespit etmek;v.;konstate;462
1895;constipation;constipation;peklik;f.;konstipasyoñ;-1
1896;constituer;toconstitute;kurmak, oluþturmak;v.;koñstitüe;463
1897;constitution;setting up;kuruluþ;f.;koñstitüsyoñ;463
1898;constitution;constitution;anayasa;f.;koñstitüsyoñ;463
1899;constitutionnalité;constitutionality;meþrutiyet;f.;konstitüsyonalizm;463
1900;construction;construction;yapý;f.;konstrüksiyoñ;464
1901;construire;tobuild;inþa etmek;v.;konstrüir;464
1902;consultation;consultation;danýþma;f.;koñsültasyoñ;465
1903;consulter;toconsult;danýþmak;v.;koñsülte;465
1904;contact;contact;dokunma, temas, iletiþim;m.;koñtakt;466
1905;contacter;tocontact;dokunmak,temasa,iletiþime geçmek;v.;koñtakte;466
1906;contagieux (-euse);contagious;bulaþýcý;adj.;koñtajiyö/-yöz;-1
1907;container;container;çöp tenekesi (konteynýr);m.;kontenör;-1
1908;contamination;contamination;bulaþma;f.;koñtaminasyoñ;467
1909;contaminer;tocontaminate;bulaþmak;v.;koñtamine;467
1910;conte;tale;masal;m.;kont;468
1911;conte de fées;fairy tale;peri masalý;f.;koñt dö fe;468
1912;contemporain (-e);contemporary;çaðdaþ;adj.;koñtañporeñ;-1
1913;contenir;tocontain;içermek, ihtiva etmek;v.;koñtönir;470
1914;content (-e);happy, pleased, joyful;memnun;adj.;koñtañ/koñtant;469
1915;contentement;contentment, satisfaction;kanaat, yetinme;m.;koñtantmañ;469
1916;secontenter ;tobe satisfied with;kanaat etmek, yetinmek;v.;sö koñtañte;469
1917;contenu;content;içerik;m.;koñtönü;470
1918;continent;continent;kýta;m.;koñtinañ;471
1919;continental;continental;karasal;m.;koñtinañtal;471
1920;continu (-e);continual;daimî;adj.;koñtinü;472
1921;continuation;continuation;devam;f.;koñtinüasyoñ;472
1922;continuel(-le);continual;devamlý;adj.;koñtinüel;472
1923;continuellement;continually;sürekli olarak, durmadan;adv.;koñtinüelmañ;472
1924;continuer;tocontinue, keep on, go on;devam etmek;v.;koñtinüe;472
1925;continuité;continuity;devamlýlýk, süreklilik;f.;koñtinüite;472
1926;contracter;tocontract;büzmek, kasmak;v.;koñtrakte;473
1927;contracter;tocontract;kontrat yapmak;v.;koñtrakte;473
1928;secontracter ;tocontract;büzülmek, kasýlmak;v.;sö koñtrakte;473
1929;contradiction;contradiction;çeliþki;f.;koñtradiksiyoñ;474
1930;être en contradiction avec;tobe contradiction to;çeliþmek (baþkasýyla);v.;etr añ koñtradiksiyoñ;474
1931;contraire;contrary;zýt, ters;m.;koñtrer;475
1932;aucontraire;on the contrary;tersine, aksine;exp.;o kontrer;475
1933;contrarier;tooppose;karþý çýkmak, engellemek;v.;koñtrariye;475
1934;contraste;contrast;tezat;m.;koñtrast;475
1935;contrat;contract;kontrat, sözleþme;m.;koñtra;473
1936;contravention;infraction;yasaya aykýrý davranýþ;f.;koñtravañsiyoñ;-1
1937;contre;close to;dayalý, bitiþik;prép.;kontr;475
1938;contre;against;karþý;adv.;kontr;475
1939;contredire;tocontradict;karþý olmak, itiraz etmek;v.;kontrdir;475
1940;secontredire;tocontradict;çeliþmek (kendiyle);v.;sö koñtrdir;475
1941;contrepoison;counter-poison;panzehir;m.;kontrpuazoñ;-1
1942;contribuable;tax-payer;yükümlü (vergi);adj.;koñtribüabl;477
1943;contribuer;tocontribute;katkýda bulunmak;v.;koñtribüe;477
1944;contribution;contribution;katký;f.;koñtribüsyoñ;-1
1945;contrôle;control, check;denetim, kontrol;m.;koñtrôl;478
1946;contrôler;tocheck;denetlemek, kontrol etmek;v.;koñtrôle;478
1947;contrôleur;controller, conductor;denetçi, kondüktör;m.;koñtrôlör;478
1948;convaincant (-e);convincing;iknâ edici;adj.;koñveñkañ/-ant;479
1949;convaincre;toconvince;inandýrmak, ikna etmek;v.;koñvenkr;479
1950;convenir à;tosuit;uygun olmak, uymak;v.;koñvönir;480
1951;convention;convention, agreement;sözleþme;f.;koñvañsiyoñ;480
1952;convenu (-e);agreed;uygun;adj.;koñvönü;480
1953;conversation;conversation;sohbet, konuþma, muhabbet;f.;koñversasyoñ;-1
1954;convive;guest;misafir;m.;koñviv;-1
1955;convocation ;convocation, announcement;davetiye;f.;koñvokasyoñ;-1
1956;convoi;convoy;kafile, konvoy;m.;koñvua;-1
1957;coordonnée;address and phone number;adres, telefon vs;f.;koordone;481
1958;coordonnée;coordinate;kordinat;f.;koordone;481
1959;cooucher du soleil;sunset;gurup;m.;kuþe du soley;-1
1960;copain (copine);friend;arkadaþ, dost;m.;kopeñ/kopin;-1
1961;copie;copy;kopya, suret;f.;kopi;482
1962;copier;tocopy;kopyalamak, suret çýkarmak;v.;kopiye;482
1963;copieux (-euse);copious;bol, çeþitli;adj.;kopiyö;482
1964;copropriétaire;co-owner;mülk ortaðý, ortak mal sahibi;m.f.;kopropriyeter;483
1965;co-propriété;co-ownership;ortak mülkiyet;f.;ko propriyete;483
1966;coq;cock;horoz;m.;kôk;-1
1967;coquelicot;poppy;gelincik;m.;kok(ö)liko;-1
1968;coqueluche;whooping cough;boðmaca;f.;koklüþ;-1
1969;coquillage;shellfish;kabuklu deniz ürünleri;m.;kôkiyaj;484
1970;coquille ;shell;kabuk (örn.deniz kabuðu);f.;kôkiy;484
1971;cor;corn;nasýr;m.;kor;-1
1972;corail;coral;mercan;m.;koray;-1
1973;Coran;Quran;Kuran;m.;korañ;-1
1974;corbeau (corbeille);crow;karga;m.;korbo/ korbey;-1
1975;corde;rope;ip, halat;f.;kord;485
1976;corde;string;tel (müzik aleti);f.;kord;485
1977;cordial;cordial;"kalbe iyi gelen içecek; içten gelen";m.;kordiyal;486
1978;cordialement;cordial, harty;içtenlikle;adv.;kordiyalmañ;486
1979;Coréen (-en);Corean;Koreli;m.f.;koreeñ/koreen;-1
1980;corne;horn;boynuz;f.;kôrn;-1
1981;cornichon;gherkin;korniþon, turþuluk hýyar;m.;korniþoñ;-1
1982;corporel (-le);corporal, bodily;bedensel;adj.;korporel;487
1983;corps;body;beden, vücut, ceset;m.;kor;487
1984;corps de métier;trade guild;lonca;m.;kor dö metiye;487
1985;corps d'un mort;body of a dead person;naaþ;m.;kor dœñ mor;487
1986;correct;correct;doðru düzgün;adj.;korekt;488
1987;correctement;correctly;doðru düzgün bir biçimde;adv.;korekt(ö)mañ;488
1988;correction;correction;düzeltme;f.;koreksiyoñ;488
1989;correspondance;correspondence;tutarlýlýk, uyum;f.;korespoñdans;489
1990;correspondance;correspondence;mektuplaþma;f.;korespoñdans;489
1991;correspondant (-e);correspondent;mektup arkadaþý;m.;korespoñdañ/-ant;489
1992;correspondant (-e);correspondent;uygun;adj.;korespoñdañ/-ant;489
1993;correspondant (-e);correspondent;muhabir;m.;korespoñdañ/-ant;489
1994;correspondre;tocorrespond;baðlantýya geçmek;v.;korespoñdr;489
1995;secorrespondre;tocorrespond each other;yazýþmak;v.;sö korespondr;489
1996;corriger;tocorrect;düzeltmek;v.;korije;488
1997;corruption;corruption;yolsuzluk;f.;korüpsiyoñ;-1
1998;cortège;procession;alay, maiyet, kortej;m.;kortej;-1
1999;cosmétique;cosmetic;kozmetik;m.;kozmetik;-1
2000;costume;costume;kostüm;m.;kostüm;490
2001;costume;suit;takým elbise (erkek);m.;kostüm;490
2002;côte;rib;kaburga;f.;kot;491
2003;côte;shore, side, coast;kýyý, sahil;f.;kot;491
2004;àcôté de;next to..;yanýnda;adv.;a kote;491
2005;côté ;side;yan;f.;kote ;491
2006;côtelette de porc, mouton ;chop;pirzola (domuz, kuzu);f.;kotlet dö por/mutoñ;492
2007;côtelette de veau;cutlet;pirzola (dana);f.;kotlet dö vo;492
2008;cotisation;fee;ödenti;f.;kotizasyoñ;493
2009;cotisation;fee;aidat;f.;kotizasyoñ;493
2010;cotiser;to contribute, to subscribe;payýna düþeni ödemek;v.;kotize;493
2011;coton;cotton;pamuk;m.;kotoñ;-1
2012;cou;neck;boyun, gerdan;m.;ku;-1
2013;couche;layer;tabaka ;f.;kuþ ;494
2014;couche d'ozone;ozone layer;ozon tabakasý;f.;kuþ d'ozoñ;494
2015;couche sociale;social strata;tabaka (toplumsal);f.;kuþ sosyal;494
2016;coucher ;toput to bed;uykuya yatýrmak;v.;kuþe;495
2017;secoucher ;toto go to bed;(uykuya) yatmak;v.;kuþe (sö);495
2018;coucher du soleil;sunset;gün batýmý;m.;kuþe du soley;495
2019;coucou;cuckoo;guguk kuþu;m.;kuku;-1
2020;coude;elbow;dirsek;m.;kud;-1
2021;coudre;tosew;dikmek;v.;kudr;496
2022;machine à coudre;sewing machine;dikiþ makinasý;f.;maþin a kudr;496
2023;couette;feather bed;yatak örtüsü;f.;kuet;-1
2024;couler;tosink;akmak;v.;kule;-1
2025;couleur;color;renk;f.;kulör;403
2026;coulisse;wings (theatre);kulis;f.;kulis;-1
2027;couloir;corridor;koridor, hol;m.;kuluar;497
2028;couloir;corridor, lane;kulvar;m.;kuluar;497
2029;coup;blow;darbe, vuruþ;m.;ku;498
2030;tout d'un coup/tout à coup;suddenly;birdenbire;exp.;tu d'œñ ku / tutaku;498
2031;coup de foudre;love at first sight;yýldýrým aþký;m;ku dö fudr;498
2032;coup de pied;kick;tekme;m.;ku dö piye;498
2033;coup de téléphone;phone call;çaðrý (telefon);m.;ku dö telefon;498
2034;coupable;culprit;fail;m.f.;kupabl;499
2035;coupable;guilty;suçlu;adj.;kupâbl;499
2036;coupe;cup;kupa;f.;kup;-1
2037;couper;tocut;kesmek;v.;kupe;500
2038;secouper;tocut oneself;kesilmek;v.;sö kupe;500
2039;se faire couper les cheveux;tohave one's hair cut;kestirmek (saç);v.;sö fer kupe le þövö;500
2040;couple;couple, pair;çift, eþ;m.;kupl;8500
2041;coupler;to couple;çiftleþtirmek, eþileþtirmek;f.;kuple;8500
2042;coupure;cut;kesinti, kesim;f.;kupür;500
2043;cour;yard;avlu;m.;kur;501
2044;cour;court;mahkeme;m.;kur;501
2045;cour;play-ground;okul bahçesi;m.;kur;501
2046;cour de cassation;supreme court of appeal;yargýtay;m.;kur dö kasasyoñ;501
2047;Cour de Comptes;Committee on Public Accounts;sayýþtay;m.;kur dö koñt;501
2048;courage;courage;cesaret;m.;kuraj;502
2049;courageusement;courageously;cesurca;adv.;kurajözmañ;502
2050;courageux (-euse);courageous, brave;cesaretli, cesur;adj.;kurajö/kurajöz;502
2051;couramment;fluently;akýcý;adv.;kuramañ;503
2052;courant;stream;akýntý (su);m.;kurañ ;503
2053;courant;draught;cereyan (hava), akým;m.;kurañ ;503
2054;courant (-e);current;þimdiki;adj.;kurañ / kurant;503
2055;courant (-e);usual;alýþýldýk;adj.;kurañ / kurant;503
2056;courbe ;curve;eðri, kavis;f.;kurb;504
2057;courber;tocurve;eðmek;v.;kurbe;504
2058;secourber ;tostoop;eðrilmek;v.;sö kurbe;504
2059;coureur (-euse);runner;koþucu;m.f.;kurör/kuröz;505
2060;coureur (-euse);racer;yarýþcý;m.f.;kurör/kuröz;505
2061;courgette;courgette, zucchini;kabak (sebze);f.;kurjet;-1
2062;courir;torun;koþmak;v.;kurir;505
2063;couronne;crown;taç;f.;kuron;-1
2064;courriel;e-mail;e-posta (elektronik posta);m.;kuryel;506
2065;courrier;mail;mektup;m.;kurye;506
2066;cours;lesson;ders, kurs;m.;kur;507
2067;cours d'eau;stream;akarsu;m.;kur d'o;507
2068;course;running, race;koþu, yarýþ;f.;kurs;508
2069;course;shopping;alýþ veriþ;f.;kurs;508
2070;court (-e);short;kýsa;adj.;kur/kurt;509
2071;court de tennis;tennis court;tenis kortu;m.;kur dö tenis;509
2072;court métrage;short film;kýsa film;m.;kur metraj;509
2073;couscous;couscous;kuskus;m.;kuskus;-1
2074;cousin (-e);cousin;kuzen;m.f.;kuzeñ/kuzin;-1
2075;coussin;cushion;minder;m.;kuseñ;-1
2076;couteau;knife;býçak;m.;kuto;-1
2077;coûter;tocost;deðerinde, pahasýnda olmak;v.;kute;510
2078;couteux (-euse);expensive, costly;pahalý, masraflý;adj.;kutö / kutöz;510
2079;coutume;custom;örf, gelendi, âdet;f.;kutüm;-1
2080;couture;swing;dikiþ;f.;kutür;511
2081;couturier (-ère);couturier, dress maker, tailor;terzi;m.f.;kurüriye /-yer;511
2082;couvent;monastery;manastýr;m.;kuvañ;-1
2083;couvercle;lid;kapak (tencere, tava);m.;kuverkl;-1
2084;couvert;cloudy;bulutlu, kapalý hava;m.;kuver;512
2085;couvert(e) de suie     ;sooty;isli;adj.;kuver(t) dö süi;512
2086;couverture;cover;kýlýf;f.;kuvertür;512
2087;couverture;blanket;örtü, battaniye;f.;kuvertür;512
2088;couverture piquée;piqué;pike (örtü);f.;kuvertür pike;512
2089;couveuse;incubator;küvöz;f.;kuvöz;512
2090;couvoir;hatching-apparatus;kuluçka;m.;kuvuar;-1
2091;couvre-lit;bedspread;yatak örtüsü;m.;kuvr-li;512
2092;couvrir;tocover;örtmek;v.;kuvrir;512
2093;couvrir;tocover;kaplamak, kapsamak;v.;kuvrir;512
2094;secouvrir ;tocover oneself;örtünmek;v.;sö kuvrir;512
2095;crabe;crab;yengeç;m.;krab;-1
2096;crachat;spit;tükürük;m.;kraþa;-1
2097;craie;shalk;tebeþir;f.;kre;-1
2098;craindre;tofear;korkmak;v.;kreñdr;513
2099;crainte;fear;korku;f.;kreñt;513
2100;sans crainte;careless;pervasýz, korkusuz;adj.;sañ krent;513
2101;crâne;skull;kafatasý;m.;kran;-1
2102;cravate;tie, necktie;kravat, boyun baðý;f.;kravat;-1
2103;crayon;pencil;kurþun kalem;m.;kreyoñ;-1
2104;Créateur;God, Creator;Yaradan;m.;Kreatör;514
2105;créateur (-trice);creator;yaratýcý;adj.;kreatör /-tris;514
2106;création;creation;yaratýlýþ;f.;kreasyoñ;514
2107;créature;creature;yaratýk, mahluk;f.;kreatür;514
2108;crèche;day nursery;kreþ;f.;kreþ;-1
2109;àcredit;on credit;veresiye;exp.;a kredi;515
2110;crédit;credit;kredi;m.;kredi;515
2111;créer;tocreate;yaratmak;v.;kree;514
2112;créer;tocreate, to design;oluþturmak, meydana getirmek;v.;kree;514
2113;crème;cream;krem / krema;f.;krem;516
2114;crème caramel;cream caramel dessert;krem karamel;f.;krem karamel;516
2115;crème fraîche;cream;krema (taze);f.;krem freþ;516
2116;crème glacée;ice cream;dondurma ;f.;krem glase;516
2117;crépuscule;twilight;alacakaranlýk;m.;krepüskül;-1
2118;creuser;todig;kazmak, oymak;v.;kröze;-1
2119;crevé (-e);punctured, flat;patlak lastik;adj.;kröve;517
2120;crevé (-e);worn out;yorgunluktan ölmüþ,gebermiþ,bitkin;adj.;kröve;517
2121;crevette;shrimp;karides;f.;krövet;-1
2122;cri;scream;çýðlýk;m.;kri;518
2123;crier;toshout;baðýrmak, çýðlýk atmak;v.;kriye;518
2124;crime;crime;suç, cinayet;m.;krim;-1
2125;crise ;crisis;kriz, nöbet;f.;kriz;519
2126;crise cardiaque;heart attack;kalp krizi;f.;kriz kardiyak;519
2127;cristal;crystal;kristal;m.;kristal;-1
2128;critique;criticism;eleþtiri;f.;kritik;185
2129;critique;critic;eleþtirmen;m.f.;kritik;185
2130;critique;critical;kritik;adj.;kritik;185
2131;critiquer;tocriticize;eleþtirmek;v.;kritike;185
2132;Croate;Croation;Hýrvat;m.f.;Kroat;520
2133;Croatie;Croatia;Hýrvatistan;f.;Kroasi;520
2134;croc;hook;kanca;m.;krok;521
2135;crochet;hook;çengel;m.;kroþe;521
2136;crocodile;crocodile;timsah;m.;krokodil;-1
2137;croire;tobelieve, to think;inanmak, sanmak, zannetmek;v.;kruar;522
2138;croiser;tocross;karþýlaþmak;v.;kruaze;-1
2139;croisière;cruise;tur (deniz);f.;kruaziyer;-1
2140;croissance;growth;büyüme (çoðalma);f.;kruasañs;523
2141;croissant;crescent;hilâl, ayça;m.;kruasañ;523
2142;croissant;croissant;kruasan, ay çöreði;m.;kruasañ;523
2143;croissant ( -e);increasing;büyüyen, artan, çoðalan;adj.;kruasañ, kruasant;523
2144;croître;togrow;büyümek (çoðalmak);v.;kruatr;523
2145;croix;cross;haç, ýstavroz, istavroz;f.;krua;-1
2146;croquant (-e);crisp;gevrek, kýtýr;adj.;krokañ / -ant;-1
2147;croquis;sketch;kroki, taslak;m.;kroki;-1
2148;croûte;crust;kabuk (ekmek);f.;krut;524
2149;croutôn;crust;kabuk ekmek (kýzarmýþ);m.;krut;524
2150;croyance;faith, belief;imân,inanç;f.;kruayans;522
2151;croyant (-e);believer, faithful;mümin;m.;kruayañ / -yant;522
2152;cru (-e);raw;çið (piþmemiþ);adj.;krü;-1
2153;cruel (-le);cruel;acýmasýz, zalim;adj.;krüel;525
2154;cruellement;cruelly;acýmasýz, zalim bir biçimde;adv.;krüelmañ;525
2155;Cubain (-e);A Cuban;Kübalý;m.f.;kübeñ/küben;526
2156;cube;cube;küp;m.;küb;527
2157;cubique;cubic;kübik;adj.;kübik;527
2158;cueillir;tocollect, gather, pick;toplamak (çiçek, meyve vs);v.;köyir;-1
2159;cuillère;spoon;kaþýk;f.;küyer;528
2160;cuillère à thé;teaspoon;çay kaþýðý;f.;küyer a te;528
2161;cuillerée;spoonful;kaþýk dolusu;f.;küiyöre;528
2162;cuir;leather;deri (giyim);m.;küir;-1
2163;cuire  ;tocook;piþirmek;v.;küir;529
2164;cuisine;kitchen;mutfak;f.;küizin;529
2165;livre de cuisine;cookery book;yemek kitabý;m.;livr dö küizin;529
2166;cuisiner;tocook;yemek yapmak;v.;küizine;529
2167;cuisinier (-ère);cook;ocak;m.f.;küiziniye;529
2168;cuisinière;cooker;aþçý;f.;küiziniyer;529
2169;cuisse;thigh;but (tavuk);f.;küis;-1
2170;cuit (-e);cooked;piþmiþ, piþkin;adj.;küi / küit;529
2171;cuivre;copper;bakýr;m.;küivr;-1
2172;culotte;knickers, pants, panties;külot;f.;külot;-1
2173;culpabilité;culpability, guiltiness;suçluluk;f.;külpabilite;499
2174;cultivateur (-trice);cultivator;rençber;m.f.;kültivatör / -tris;530
2175;cultivé ( -e);well-read, cultivated;okur-yazar, kültürlü;adj.;kültive;530
2176;culture;culture;kültür, ekin;f.;kültür;530
2177;culturel (-le);cultural;kültürel;adj.;kültürel;530
2178;cumin;cumin;kimyon;m.;kümeñ;-1
2179;cure;cure;kür;f.;kür;531
2180;cure-dent;toothpick;kürdan;f.;kür-dañ;531
2181;curetage;curetage, abortion;kürtaj;m.;kürtaj;531
2182;curieusement;curiously;meraklý þekilde;adv.;küriyözmañ;532
2183;curieux (-euse);curious;meraklý;adj.;küriyö;532
2184;curiosité;curiosity;merak;f.;küriyozite;532
2185;curriculum vitae;curriculum vitae;özgeçmiþ;m.;kürikülom vite;-1
2186;cyclamen;cyclamen;siklamen;m.;siklameñ;-1
2187;cycle;cycle;devir, devre;m.;sikl;-1
2188;cyclone;hurricane, cyclone;siklon;m.;siklon;-1
2189;cygne;swan;kuðu;m.;siyn;-1
2190;cylindre;cylinder;silindir;m.;silendr;533
2191;cylindrique;cylindrical;silindir biçiminde;adj.;silendrik;533
2192;ça;it, that, this;bu, bu durum (genel anlamda);pron.;sa;534
2193;ça suffit!;that's enough;yeter!;exclam.;sa süfi;534
2194;d'abord;first;önce, öncelikle;exp.;d'abor;-1
2195;d'accord;all right / ok;peki, tamam;adv.;d'akor;535
2196;être d'accord;tobe agree;uzlaþmak;v.;etr d'akor;535
2197;dactylo;typist;daktilograf;m.f.;daktilo;-1
2198;d'ailleurs;more over;zaten;adv.;d'ayör;-1
2199;daltonien (-ne);colour-blind;renkkörü;adj.;daltoniyeñ / -en;536
2200;daltonisme;colour blindness;renkkörlüðü;m.;daltonizm;536
2201;dame;lady;hanýmefendi;f.;dam;537
2202;dames;draughts;dama;f.;dam;537
2203;dandy;dandy, snob;züppe;m.;dandi;-1
2204;leDanemark ;Denmark;Danimarka;m.;danmark;538
2205;danger;danger;tehlike;m.;dañje;539
2206;dangereusement;dangerously;tehlikeli bir biçimde;adv.;dañjörözmañ;539
2207;dangereux (-euse);dangerous;tehlikeli;adj.;dañjörö/-öz;539
2208;danois;danish;Danimarkaca;m.;danua;538
2209;Danois (-e);A Dane;Danimarkalý;m.f.;danua/danuaz;538
2210;dans;into, within;içinde;adv.;dañ;540
2211;dans le futur;in the future;ileride, gelecekte;exp.;dañ lö fütür;540
2212;danse;dance;dans, raks;f.;dans;541
2213;danser;todance;dans etmek, oynamak;v.;dañse;541
2214;danseur (-euse);dancer;dansçý;m.f.;dansör;541
2215;danseuse ( de ventre);belly dancer;rakkase;f.;dañsöz;541
2216;date;date;tarih (gün-ay-yýl);f.;dat;542
2217;daté(-e) de… ;dated from;tarihli;adj.;date dö…;542
2218;datte;date;hurma;f.;dat;543
2219;dattier;date palm;hurma aðacý;m.;datiye;543
2220;dauphin;dauphin;tahtýn varisi, veliaht ;m.;dofeñ;544
2221;dauphin;dolphin;yunus balýðý;m.;dofeñ;544
2222;d'autrepart;moreover;öteyandan;prép.;dotrpar;-1
2223;davantage;more;daha fazla;adv.;davañtaj;-1
2224;dé;dice;zar (oyun);m.;de;-1
2225;de / du / de la /de l' / des;from, of, about; -den, -in;art.;dö/dü/dö la/dö l'/de;545
2226;de nos jours;nowadays;günümüzde;exp.;dö no jur;545
2227;de temps en temps;from time to time;zaman zaman;exp.;dö tañzañtañ;545
2228;débarquer;disembark;karaya çýkarmak;v.;debarke;-1
2229;débarrasser;torid;kurtarmak (-den…);v.;debarase;546
2230;sedébarrasser ;toget rid of…;kurtulmak (-den…);v.;sö debarase;546
2231;débat;debate, dispute;tartýþma, müzakere;m.;deba;547
2232;sedébattre ;tostruggle;çýrpýnmak;v.;sö debatr;547
2233;déborder;toowerflow;taþmak;v.;deborde;-1
2234;déboucher;touncork;açmak (týpasýný, kapaðýný…);v.;debuþe;-1
2235;debout;up, standing;dikine, ayaküstü;m.;döbu;-1
2236;débrancher;todisconnect;prizden çýkarmak;v.;debrañþe;-1
2237;débris;rubbish, debris;enkaz;m.;debri;-1
2238;sedébrouiller ;tomanage;baþa çýkmak;v.;sö debruye;-1
2239;audébut;at first;baþlangýçta, baþta;exp.;o debü;548
2240;début;start;baþlangýç;m.;debü;548
